"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","3","Smt.  Sonia  Gandhi                                            ","15","9","Uttar Pradesh                                               ","Rae Barelii","24","15"
"2","11","Shri  Ajit  Singh                                             ","15","9","Uttar Pradesh                                               ","Baghpat","24","M"
"3","15","Shri  Dayanidhi  Maran                                             ","15","9","Tamil Nadu                                                  ","Chennai Central","24","18"
"4","29","Shri  Harish  Rawat                                             ","15","9","Uttarakhand                                                 ","Hardwar","24","M"
"5","30","Smt.  Chandresh  Kumari                                            ","15","9","Rajasthan                                                   ","Jodhpur","24","M"
"6","38","Shri  Jitender  Singh                                             ","15","9","Haryana                                                     ","Sonipat","24","M"
"7","39","Shri  Manish  Tewari                                            ","15","9","Punjab                                                      ","Ludhiana","24","M"
"8","53","Shri  Pratik  Patil                                             ","15","9","Maharashtra                                                 ","Sangli","24","M"
"9","55","Dr.  Shashi  Tharoor                                           ","15","9","Kerala                                                      ","Thiruvananthapuram","24","M"
"10","60","Shri    Kodikunnil  Suresh                                ","15","9","Kerala                                                      ","Mavelikkara","24","M"
"11","61","Shri  Rahul  Gandhi                                            ","15","9","Uttar Pradesh                                               ","Amethi","24","4"
"12","62","Shri  K. J.S.P.  Reddy                                             ","15","9","Andhra Pradesh                                              ","Kurnool","24","M"
"13","63","Shri  A.H.   Khan  Choudhury                                         ","15","9","West Bengal                                                 ","Maldaha Dakshin","24","M"
"14","64","Shri  Adhir Ranjan  Chowdhury                                         ","15","9","West Bengal                                                 ","Baharampur","24","M"
"15","65","Smt.  Ranee  Narah                                             ","15","9","Assam                                                       ","Lakhimpur","24","M"
"16","66","Shri   Sarvey  Sathyanarayana                                    ","15","9","Andhra Pradesh                                              ","Malkajgiri","24","M"
"17","67","Shri  Ninong  Ering                                             ","15","9","Arunachal Pradesh                                           ","Arunachal East","24","M"
"18","68","Smt.  Deepa  Dasmunsi                                          ","15","9","West Bengal                                                 ","Raiganj","24","M"
"19","69","Shri  P.  Balram  Naik                                      ","15","9","Andhra Pradesh                                              ","Mahabubabad","24","M"
"20","70","Dr.  Krupa Rani  Killi                                             ","15","9","Andhra Pradesh                                              ","Srikakulam","24","M"
"21","71","Shri  Lal Chand  Kataria                                           ","15","9","Rajasthan                                                   ","Jaipur Rural","24","M"
"22","72","Shri  Sandeep  Dikshit                                           ","15","9","Delhi                                                       ","East Delhi","24","24"
"23","73","Shri  J.M.  Aaron Rashid                                      ","15","9","Tamil Nadu                                                  ","Theni","24","17"
