"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","3","Smt.  Sonia  Gandhi                                            ","15","7","Uttar Pradesh                                               ","Rae Barelii","23","12"
"2","11","Shri  Ajit  Singh                                             ","15","7","Uttar Pradesh                                               ","Baghpat","23","M"
"3","14","Shri  Paban Singh  Ghatowar                                          ","15","7","Assam                                                       ","Dibrugarh","23","M"
"4","24","Shri  V. Kishore Chandra S.  Deo                                               ","15","7","Andhra Pradesh                                              ","Araku","23","M"
"5","29","Shri  Harish  Rawat                                             ","15","7","Uttarakhand                                                 ","Hardwar","23","M"
"6","30","Smt.  Chandresh  Kumari                                            ","15","7","Rajasthan                                                   ","Jodhpur","23","M"
"7","38","Shri  Jitender  Singh                                             ","15","7","Haryana                                                     ","Sonipat","23","M"
"8","39","Shri  Manish  Tewari                                            ","15","7","Punjab                                                      ","Ludhiana","23","M"
"9","53","Shri  Pratik  Patil                                             ","15","7","Maharashtra                                                 ","Sangli","23","M"
"10","55","Dr.  Shashi  Tharoor                                           ","15","7","Kerala                                                      ","Thiruvananthapuram","23","M"
"11","58","Dr.  Charan Das  Mahant                                            ","15","7","Chhattisgarh                                                ","Korba","23","M"
"12","59","Shri  Milind  Deora                                             ","15","7","Maharashtra                                                 ","Mumbai-South","23","M"
"13","60","Shri    Kodikunnil  Suresh                                ","15","7","Kerala                                                      ","Mavelikkara","23","M"
"14","61","Shri  Rahul  Gandhi                                            ","15","7","Uttar Pradesh                                               ","Amethi","23","7"
"15","62","Shri  K. J.S.P.  Reddy                                             ","15","7","Andhra Pradesh                                              ","Kurnool","23","M"
"16","63","Shri  A.H.   Khan  Choudhury                                         ","15","7","West Bengal                                                 ","Maldaha Dakshin","23","M"
"17","64","Shri  Adhir Ranjan  Chowdhury                                         ","15","7","West Bengal                                                 ","Baharampur","23","M"
"18","65","Smt.  Ranee  Narah                                             ","15","7","Assam                                                       ","Lakhimpur","23","M"
"19","66","Shri   Sarvey  Sathyanarayana                                    ","15","7","Andhra Pradesh                                              ","Malkajgiri","23","M"
"20","67","Shri  Ninong  Ering                                             ","15","7","Arunachal Pradesh                                           ","Arunachal East","23","M"
"21","68","Smt.  Deepa  Dasmunsi                                          ","15","7","West Bengal                                                 ","Raiganj","23","M"
"22","69","Shri  P.  Balram  Naik                                      ","15","7","Andhra Pradesh                                              ","Mahabubabad","23","M"
"23","70","Dr.  Krupa Rani  Killi                                             ","15","7","Andhra Pradesh                                              ","Srikakulam","23","M"
"24","71","Shri  Lal Chand  Kataria                                           ","15","7","Rajasthan                                                   ","Jaipur Rural","23","M"
"25","72","Shri  Sandeep  Dikshit                                           ","15","7","Delhi                                                       ","East Delhi","23","25"
"26","73","Shri  J.M.  Aaron Rashid                                      ","15","7","Tamil Nadu                                                  ","Theni","23","26"
"27","75","Shri  Naveen  Jindal                                            ","15","7","Haryana                                                     ","Kurukshetra","23","20"
"28","76","Shri  Madhu Goud  Yaskhi                                            ","15","7","Andhra Pradesh                                              ","Nizamabad","23","26"
"29","77","Shri  Satpal  Maharaj                                           ","15","7","Uttarakhand                                                 ","Garhwal","23","20"
"30","78","Shri  Vijay  Bahuguna                                          ","15","7","Uttarakhand                                                 ","Tehri Garhwal","23","27"
"31","78","Shri  Vincent H.  Pala                                              ","15","7","Meghalaya                                                   ","Shillong","23","M"
"32","79","Shri  Madan Lal  Sharma                                            ","15","7","Jammu and Kashmir                                           ","Jammu","23","26"
"33","80","Chaudhary  Lal  Singh                                             ","15","7","Jammu and Kashmir                                           ","Udhampur","23","23"
"34","81","Shri  Mohammed  Azharuddin                                        ","15","7","Uttar Pradesh                                               ","Moradabad","23","21"
"35","82","Shri  Hamdullah  Sayeed                                            ","15","7","Lakshadweep                                                 ","Lakshadweep","23","25"
"36","83","Shri  Ashok  Tanwar                                            ","15","7","Haryana                                                     ","Sirsa","23","25"
"37","84","Shri  K.C.  Singh Baba                                        ","15","7","Uttarakhand                                                 ","Nainital-Udhamsingh Nagar","23","22"
"38","85","Shri  Vijay Inder  Singla                                            ","15","7","Punjab                                                      ","Sangrur","23","M"
"39","88","Shri  Sabbam  Hari                                              ","15","7","Andhra Pradesh                                              ","Anakapalli","23","21"
"40","89","Shri  Ravneet  Singh                                             ","15","7","Punjab                                                      ","Anandpur Sahib","23","23"
"41","90","Shri  Mahabal  Mishra                                            ","15","7","Delhi                                                       ","West Delhi","23","27"
"42","91","Shri  Ramesh  Kumar                                             ","15","7","Delhi                                                       ","South Delhi","23","28"
"43","92","Shri  Ismail Hussain  ","15","7","Assam                                                       ","Barpeta","23","28"
"44","93","Shri  Mohammad Asrarul  Haque                                             ","15","7","Bihar                                                       ","Kishanganj","23","28"
"45","94","Shri  Takam  Sanjoy                                            ","15","7","Arunachal Pradesh                                           ","Arunachal West","23","20"
"46","97","Shri  P.  Viswanathan                                       ","15","7","Tamil Nadu                                                  ","Kancheepuram","23","16"
"47","98","Shri  Sheesh Ram  Ola                                               ","15","7","Rajasthan                                                   ","Jhunjhunu","23","27"
"48","99","Shri  T.R.  Baalu                                             ","15","7","Tamil Nadu                                                  ","Sriperumbudur","23","14"
"49","100","Shri  Vilasrao Baburao  Muttemwar                                         ","15","7","Maharashtra                                                 ","Nagpur","23","23"
"50","101","Shri  Manikrao Hodlya  Gavit                                             ","15","7","Maharashtra                                                 ","Nandurbar","23","M"
"51","102","Shri  Suresh  Kalmadi                                           ","15","7","Maharashtra                                                 ","Pune","23","10"
"52","106","Dr.    Chinta Mohan                                      ","15","7","Andhra Pradesh                                              ","Tirupati","23","22"
"53","107","Shri  Biren Singh  Engti                                             ","15","7","Assam                                                       ","Autonomous District","23","19"
"54","108","Dr.  Kavuri Samba Siva  Rao                                               ","15","7","Andhra Pradesh                                              ","Eluru","23","26"
"55","110","Shri  Jai Prakash  Agarwal                                           ","15","7","Delhi                                                       ","North East Delhi","23","28"
"56","112","Shri  Datta  Meghe                                             ","15","7","Maharashtra                                                 ","Wardha","23","26"
"57","113","Shri   Rayapati S.  Rao                                               ","15","7","Andhra Pradesh                                              ","Guntur","23","12"
"58","114","Shri  Raj  Babbar                                            ","15","7","Uttar Pradesh                                               ","Salempur","23","21"
"59","115","Dr.  Manda  Jagannath                                         ","15","7","Andhra Pradesh                                              ","Nagarkurnool","23","24"
"60","116","Shri  A. Venkatarami  Reddy                                             ","15","7","Andhra Pradesh                                              ","Anantapur","23","18"
"61","117","Shri  Somabhai Gandalal Koli  Patel                                             ","15","7","Gujarat                                                     ","Surendranagar","23","23"
"62","118","Shri  Avtar Singh  Bhadana                                           ","15","7","Haryana                                                     ","Faridabad","23","16"
"63","119","Shri  P.C.  Chacko                                            ","15","7","Kerala                                                      ","Thrissur","23","28"
