"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","3","Smt.  Sonia  Gandhi                                            ","15","12","Uttar Pradesh                                               ","Rae Barelii","20","9"
"2","15","Shri  Dayanidhi  Maran                                             ","15","12","Tamil Nadu                                                  ","Chennai Central","20","7"
"3","16","Shri  A.  Raja                                              ","15","12","Tamil Nadu                                                  ","Nilgiris","20","16"
"4","29","Shri  Harish  Rawat                                             ","15","12","Uttarakhand                                                 ","Hardwar","20","M"
"5","30","Smt.  Chandresh  Kumari                                            ","15","12","Rajasthan                                                   ","Jodhpur","20","M"
"6","53","Shri  Pratik  Patil                                             ","15","12","Maharashtra                                                 ","Sangli","20","M"
"7","55","Dr.  Shashi  Tharoor                                           ","15","12","Kerala                                                      ","Thiruvananthapuram","20","M"
"8","61","Shri  Rahul  Gandhi                                            ","15","12","Uttar Pradesh                                               ","Amethi","20","5"
"9","62","Shri  K. J.S.P.  Reddy                                             ","15","12","Andhra Pradesh                                              ","Kurnool","20","M"
"10","63","Shri  A.H.   Khan  Choudhury                                         ","15","12","West Bengal                                                 ","Maldaha Dakshin","20","M"
"11","65","Smt.  Ranee  Narah                                             ","15","12","Assam                                                       ","Lakhimpur","20","M"
"12","67","Shri  Ninong  Ering                                             ","15","12","Arunachal Pradesh                                           ","Arunachal East","20","M"
"13","68","Smt.  Deepa  Dasmunsi                                          ","15","12","West Bengal                                                 ","Raiganj","20","M"
"14","70","Dr.  Krupa Rani  Killi                                             ","15","12","Andhra Pradesh                                              ","Srikakulam","20","M"
"15","71","Shri  Lal Chand  Kataria                                           ","15","12","Rajasthan                                                   ","Jaipur Rural","20","M"
"16","72","Shri  Sandeep  Dikshit                                           ","15","12","Delhi                                                       ","East Delhi","20","17"
"17","73","Shri  J.M.  Aaron Rashid                                      ","15","12","Tamil Nadu                                                  ","Theni","20","18"
"18","74","Shri  Arun  Yadav                                             ","15","12","Madhya Pradesh                                              ","Khandwa","20","M"
"19","75","Shri  Naveen  Jindal                                            ","15","12","Haryana                                                     ","Kurukshetra","20","15"
"20","76","Shri  Madhu Goud  Yaskhi                                            ","15","12","Andhra Pradesh                                              ","Nizamabad","20","18"
"21","77","Shri  Satpal  Maharaj                                           ","15","12","Uttarakhand                                                 ","Garhwal","20","17"
"22","78","Shri  Vincent H.  Pala                                              ","15","12","Meghalaya                                                   ","Shillong","20","M"
"23","79","Shri  Madan Lal  Sharma                                            ","15","12","Jammu and Kashmir                                           ","Jammu","20","17"
"24","80","Chaudhary  Lal  Singh                                             ","15","12","Jammu and Kashmir                                           ","Udhampur","20","16"
"25","81","Shri  Mohammed  Azharuddin                                        ","15","12","Uttar Pradesh                                               ","Moradabad","20","13"
"26","82","Shri  Hamdullah  Sayeed                                            ","15","12","Lakshadweep                                                 ","Lakshadweep","20","13"
